province,latitude,longitude,deaths
Hubei,35.86166,104.195397,39
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Beijing,35.86166,104.195397,0
Chongqing,35.86166,104.195397,0
Hunan,35.86166,104.195397,0
Guangxi,35.86166,104.195397,0
Shanghai,35.86166,104.195397,0
Jiangxi,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Shandong,35.86166,104.195397,0
Fujian,35.86166,104.195397,0
Henan,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Hainan,35.86166,104.195397,0
Tianjin,35.86166,104.195397,0
Shaanxi,35.86166,104.195397,0
Yunnan,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
,15.870032,100.992541,0
Liaoning,35.86166,104.195397,0
Heilongjiang,35.86166,104.195397,1
Guizhou,35.86166,104.195397,0
Jilin,35.86166,104.195397,0
Taiwan,35.86166,104.195397,0
,1.352083,103.819836,0
,46.227638,2.213749,0
Xinjiang,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
Hebei,35.86166,104.195397,1
Gansu,35.86166,104.195397,0
Macau,35.86166,104.195397,0
,36.204824,138.252924,0
,35.907757,127.766922,0
,37.09024,-95.712891,0
,14.058324,108.277199,0
Shanxi,35.86166,104.195397,0
Inner Mongolia,35.86166,104.195397,0
,28.394857,84.124008,0
Hubei,35.86166,104.195397,52
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Chongqing,35.86166,104.195397,0
Beijing,35.86166,104.195397,0
Hunan,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Jiangxi,35.86166,104.195397,0
Shanghai,35.86166,104.195397,0
Guangxi,35.86166,104.195397,0
Henan,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Shandong,35.86166,104.195397,0
Hainan,35.86166,104.195397,0
Fujian,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Liaoning,35.86166,104.195397,0
Shaanxi,35.86166,104.195397,0
Yunnan,35.86166,104.195397,0
Tianjin,35.86166,104.195397,0
Heilongjiang,35.86166,104.195397,1
Shanxi,35.86166,104.195397,0
Hebei,35.86166,104.195397,1
Guizhou,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
,15.870032,100.992541,0
Jilin,35.86166,104.195397,0
,1.352083,103.819836,0
,4.210484,101.975766,0
,-25.274398,133.775136,0
Xinjiang,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
Taiwan,35.86166,104.195397,0
,46.227638,2.213749,0
,36.204824,138.252924,0
Gansu,35.86166,104.195397,0
Inner Mongolia,35.86166,104.195397,0
Macau,35.86166,104.195397,0
,35.907757,127.766922,0
,37.09024,-95.712891,0
,14.058324,108.277199,0
Qinghai,35.86166,104.195397,0
,28.394857,84.124008,0
Hubei,35.86166,104.195397,40
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Chongqing,35.86166,104.195397,0
Hunan,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Beijing,35.86166,104.195397,0
Shanghai,35.86166,104.195397,0
Henan,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Shandong,35.86166,104.195397,0
Guangxi,35.86166,104.195397,0
Jiangxi,35.86166,104.195397,0
Fujian,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Hainan,35.86166,104.195397,0
Shaanxi,35.86166,104.195397,0
Liaoning,35.86166,104.195397,0
Tianjin,35.86166,104.195397,0
Heilongjiang,35.86166,104.195397,1
Hebei,35.86166,104.195397,1
Shanxi,35.86166,104.195397,0
Yunnan,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
,15.870032,100.992541,0
Guizhou,35.86166,104.195397,0
Jilin,35.86166,104.195397,0
,-25.274398,133.775136,0
Xinjiang,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
Taiwan,35.86166,104.195397,0
,1.352083,103.819836,0
,46.227638,2.213749,0
,4.210484,101.975766,0
,36.204824,138.252924,0
Gansu,35.86166,104.195397,0
Macau,35.86166,104.195397,0
,35.907757,127.766922,0
,37.09024,-95.712891,0
,14.058324,108.277199,0
Inner Mongolia,35.86166,104.195397,0
,28.394857,84.124008,0
Hubei,35.86166,104.195397,40
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Chongqing,35.86166,104.195397,0
Hunan,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Beijing,35.86166,104.195397,0
Shanghai,35.86166,104.195397,0
Henan,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Shandong,35.86166,104.195397,0
Guangxi,35.86166,104.195397,0
Jiangxi,35.86166,104.195397,0
Fujian,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Hainan,35.86166,104.195397,0
Shaanxi,35.86166,104.195397,0
Liaoning,35.86166,104.195397,0
Tianjin,35.86166,104.195397,0
Heilongjiang,35.86166,104.195397,1
Hebei,35.86166,104.195397,1
Shanxi,35.86166,104.195397,0
Yunnan,35.86166,104.195397,0
Guizhou,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
,15.870032,100.992541,0
Jilin,35.86166,104.195397,0
,-25.274398,133.775136,0
Xinjiang,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
Taiwan,35.86166,104.195397,0
,1.352083,103.819836,0
,46.227638,2.213749,0
,4.210484,101.975766,0
,36.204824,138.252924,0
Gansu,35.86166,104.195397,0
Inner Mongolia,35.86166,104.195397,0
Macau,35.86166,104.195397,0
,35.907757,127.766922,0
,37.09024,-95.712891,0
,14.058324,108.277199,0
Qinghai,35.86166,104.195397,0
,28.394857,84.124008,0
Hubei,35.86166,104.195397,40
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Chongqing,35.86166,104.195397,0
Hunan,35.86166,104.195397,0
Beijing,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Shanghai,35.86166,104.195397,0
Henan,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Shandong,35.86166,104.195397,0
Guangxi,35.86166,104.195397,0
Jiangxi,35.86166,104.195397,0
Fujian,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Hainan,35.86166,104.195397,0
Liaoning,35.86166,104.195397,0
Shaanxi,35.86166,104.195397,0
Yunnan,35.86166,104.195397,0
Tianjin,35.86166,104.195397,0
Heilongjiang,35.86166,104.195397,1
Hebei,35.86166,104.195397,1
Shanxi,35.86166,104.195397,0
Guizhou,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
,15.870032,100.992541,0
Jilin,35.86166,104.195397,0
,-25.274398,133.775136,0
Xinjiang,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
Taiwan,35.86166,104.195397,0
,1.352083,103.819836,0
,46.227638,2.213749,0
,4.210484,101.975766,0
,36.204824,138.252924,0
Gansu,35.86166,104.195397,0
Inner Mongolia,35.86166,104.195397,0
Macau,35.86166,104.195397,0
,35.907757,127.766922,0
,37.09024,-95.712891,0
,14.058324,108.277199,0
Qinghai,35.86166,104.195397,0
,28.394857,84.124008,0
Hubei,35.86166,104.195397,52
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Henan,35.86166,104.195397,1
Chongqing,35.86166,104.195397,0
Hunan,35.86166,104.195397,0
Beijing,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Shandong,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Shanghai,35.86166,104.195397,1
Guangxi,35.86166,104.195397,0
Jiangxi,35.86166,104.195397,0
Fujian,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Hainan,35.86166,104.195397,0
Shaanxi,35.86166,104.195397,0
Liaoning,35.86166,104.195397,0
Heilongjiang,35.86166,104.195397,1
Tianjin,35.86166,104.195397,0
Hebei,35.86166,104.195397,1
Yunnan,35.86166,104.195397,0
Shanxi,35.86166,104.195397,0
,15.870032,100.992541,0
Gansu,35.86166,104.195397,0
Inner Mongolia,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
Guizhou,35.86166,104.195397,0
Macau,35.86166,104.195397,0
Jilin,35.86166,104.195397,0
Xinjiang,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
,1.352083,103.819836,0
,4.210484,101.975766,0
,36.204824,138.252924,0
,37.09024,-95.712891,0
,-25.274398,133.775136,0
Taiwan,35.86166,104.195397,0
,46.227638,2.213749,0
,35.907757,127.766922,0
,14.058324,108.277199,0
Qinghai,35.86166,104.195397,0
,28.394857,84.124008,0
Hubei,35.86166,104.195397,52
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Henan,35.86166,104.195397,1
Chongqing,35.86166,104.195397,0
Hunan,35.86166,104.195397,0
Beijing,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Jiangxi,35.86166,104.195397,0
Shandong,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Shanghai,35.86166,104.195397,1
Guangxi,35.86166,104.195397,0
Fujian,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Hainan,35.86166,104.195397,0
Shaanxi,35.86166,104.195397,0
Liaoning,35.86166,104.195397,0
Yunnan,35.86166,104.195397,0
Heilongjiang,35.86166,104.195397,1
Tianjin,35.86166,104.195397,0
Hebei,35.86166,104.195397,1
Shanxi,35.86166,104.195397,0
,15.870032,100.992541,0
Gansu,35.86166,104.195397,0
Inner Mongolia,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
Guizhou,35.86166,104.195397,0
Macau,35.86166,104.195397,0
,37.09024,-95.712891,0
Jilin,35.86166,104.195397,0
Xinjiang,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
Taiwan,35.86166,104.195397,0
,1.352083,103.819836,0
,4.210484,101.975766,0
,36.204824,138.252924,0
,-25.274398,133.775136,0
,46.227638,2.213749,0
,35.907757,127.766922,0
,14.058324,108.277199,0
Qinghai,35.86166,104.195397,0
,28.394857,84.124008,0
Hubei,35.86166,104.195397,76
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Henan,35.86166,104.195397,1
Chongqing,35.86166,104.195397,0
Hunan,35.86166,104.195397,0
Beijing,35.86166,104.195397,1
Shandong,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Fujian,35.86166,104.195397,0
Shanghai,35.86166,104.195397,1
Jiangxi,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Guangxi,35.86166,104.195397,0
Shaanxi,35.86166,104.195397,0
Hainan,35.86166,104.195397,1
Liaoning,35.86166,104.195397,0
Yunnan,35.86166,104.195397,0
Tianjin,35.86166,104.195397,0
Heilongjiang,35.86166,104.195397,1
Hebei,35.86166,104.195397,1
Gansu,35.86166,104.195397,0
Shanxi,35.86166,104.195397,0
Inner Mongolia,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
,15.870032,100.992541,0
Guizhou,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
Jilin,35.86166,104.195397,0
Qinghai,35.86166,104.195397,0
Macau,35.86166,104.195397,0
Xinjiang,35.86166,104.195397,0
Taiwan,35.86166,104.195397,0
,37.09024,-95.712891,0
,-25.274398,133.775136,0
,1.352083,103.819836,0
,4.210484,101.975766,0
,36.204824,138.252924,0
,35.907757,127.766922,0
,46.227638,2.213749,0
,14.058324,108.277199,0
,28.394857,84.124008,0
,56.130366,-106.346771,0
,12.565679,104.990963,0
Hubei,35.86166,104.195397,100
Henan,35.86166,104.195397,1
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Chongqing,35.86166,104.195397,0
Hunan,35.86166,104.195397,0
Shandong,35.86166,104.195397,0
Beijing,35.86166,104.195397,1
Jiangxi,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Shanghai,35.86166,104.195397,1
Fujian,35.86166,104.195397,0
Guangxi,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Shaanxi,35.86166,104.195397,0
Hainan,35.86166,104.195397,1
Liaoning,35.86166,104.195397,0
Yunnan,35.86166,104.195397,0
Tianjin,35.86166,104.195397,0
Heilongjiang,35.86166,104.195397,1
Shanxi,35.86166,104.195397,0
Hebei,35.86166,104.195397,1
Gansu,35.86166,104.195397,0
Inner Mongolia,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
,15.870032,100.992541,0
Guizhou,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
Jilin,35.86166,104.195397,0
Qinghai,35.86166,104.195397,0
Macau,35.86166,104.195397,0
Xinjiang,35.86166,104.195397,0
Taiwan,35.86166,104.195397,0
,1.352083,103.819836,0
,37.09024,-95.712891,0
,-25.274398,133.775136,0
,4.210484,101.975766,0
,36.204824,138.252924,0
,35.907757,127.766922,0
,46.227638,2.213749,0
,14.058324,108.277199,0
,28.394857,84.124008,0
,56.130366,-106.346771,0
,12.565679,104.990963,0
,7.873054,80.771797,0
,51.165691,10.451526,0
Hubei,35.86166,104.195397,100
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Henan,35.86166,104.195397,1
Chongqing,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Hunan,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Shandong,35.86166,104.195397,0
Beijing,35.86166,104.195397,1
Jiangxi,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Shanghai,35.86166,104.195397,1
Fujian,35.86166,104.195397,0
Guangxi,35.86166,104.195397,0
Shaanxi,35.86166,104.195397,0
Hainan,35.86166,104.195397,1
Hebei,35.86166,104.195397,1
Heilongjiang,35.86166,104.195397,1
Liaoning,35.86166,104.195397,0
Yunnan,35.86166,104.195397,0
Tianjin,35.86166,104.195397,0
Shanxi,35.86166,104.195397,0
Gansu,35.86166,104.195397,0
Inner Mongolia,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
Xinjiang,35.86166,104.195397,0
Guizhou,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
,15.870032,100.992541,0
Jilin,35.86166,104.195397,0
Qinghai,35.86166,104.195397,0
Macau,35.86166,104.195397,0
Taiwan,35.86166,104.195397,0
,1.352083,103.819836,0
,37.09024,-95.712891,0
,-25.274398,133.775136,0
,4.210484,101.975766,0
,36.204824,138.252924,0
,35.907757,127.766922,0
,46.227638,2.213749,0
,14.058324,108.277199,0
,28.394857,84.124008,0
,56.130366,-106.346771,0
,12.565679,104.990963,0
,7.873054,80.771797,0
,51.165691,10.451526,0
Hubei,35.86166,104.195397,76
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Henan,35.86166,104.195397,1
Chongqing,35.86166,104.195397,0
Hunan,35.86166,104.195397,0
Shandong,35.86166,104.195397,0
Beijing,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Fujian,35.86166,104.195397,0
Shanghai,35.86166,104.195397,1
Jiangxi,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Guangxi,35.86166,104.195397,0
Shaanxi,35.86166,104.195397,0
Hainan,35.86166,104.195397,1
Liaoning,35.86166,104.195397,0
Heilongjiang,35.86166,104.195397,1
Yunnan,35.86166,104.195397,0
Tianjin,35.86166,104.195397,0
Hebei,35.86166,104.195397,1
Gansu,35.86166,104.195397,0
Shanxi,35.86166,104.195397,0
Inner Mongolia,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
,15.870032,100.992541,0
Guizhou,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
Jilin,35.86166,104.195397,0
Macau,35.86166,104.195397,0
Xinjiang,35.86166,104.195397,0
Taiwan,35.86166,104.195397,0
,37.09024,-95.712891,0
,-25.274398,133.775136,0
Qinghai,35.86166,104.195397,0
,1.352083,103.819836,0
,4.210484,101.975766,0
,36.204824,138.252924,0
,35.907757,127.766922,0
,46.227638,2.213749,0
,14.058324,108.277199,0
,28.394857,84.124008,0
Hubei,35.86166,104.195397,100
Guangdong,35.86166,104.195397,0
Zhejiang,35.86166,104.195397,0
Henan,35.86166,104.195397,1
Hunan,35.86166,104.195397,0
Chongqing,35.86166,104.195397,0
Anhui,35.86166,104.195397,0
Sichuan,35.86166,104.195397,0
Shandong,35.86166,104.195397,0
Beijing,35.86166,104.195397,1
Fujian,35.86166,104.195397,0
Jiangxi,35.86166,104.195397,0
Jiangsu,35.86166,104.195397,0
Shanghai,35.86166,104.195397,1
Guangxi,35.86166,104.195397,0
Hainan,35.86166,104.195397,1
Shaanxi,35.86166,104.195397,0
Hebei,35.86166,104.195397,1
Liaoning,35.86166,104.195397,0
Heilongjiang,35.86166,104.195397,1
Yunnan,35.86166,104.195397,0
Tianjin,35.86166,104.195397,0
Shanxi,35.86166,104.195397,0
Gansu,35.86166,104.195397,0
,15.870032,100.992541,0
Inner Mongolia,35.86166,104.195397,0
Ningxia,35.86166,104.195397,0
Xinjiang,35.86166,104.195397,0
Guizhou,35.86166,104.195397,0
Jilin,35.86166,104.195397,0
Hong Kong,35.86166,104.195397,0
Taiwan,35.86166,104.195397,0
Macau,35.86166,104.195397,0
,1.352083,103.819836,0
Qinghai,35.86166,104.195397,0
,37.09024,-95.712891,0
,-25.274398,133.775136,0
,4.210484,101.975766,0
